index,neighbourhood,cluster_sum,noise_1,noise_2,noise_3,noise_4,noise_5,safety_1,safety_2,safety_3,safety_4,safety_5,entertainment_1,entertainment_2,entertainment_3,entertainment_4,entertainment_5,restaurant_1,restaurant_2,restaurant_3,restaurant_4,restaurant_5,host_1,host_2,host_3,host_4,host_5,expense_1,expense_2,expense_3,expense_4,expense_5,shopping_1,shopping_2,shopping_3,shopping_4,shopping_5,nightlife_1,nightlife_2,nightlife_3,nightlife_4,nightlife_5,transit_1,transit_2,transit_3,transit_4,transit_5
101,Gowanus,"Great place in a convenient location with fantastic views! It was very comfortable, with a great vibe. Keely's apartment was cozy, clean and in a great spot for lots of fun! It was very clean and cozy. It is a complete rip off if you’re looking for an actual home to stay in. Molly's house is very comfortable and conveniently located close to subway stations, restaurants and shops. ",No loud neighbors nor subway train noise.,"Tons of plants, light, and interesting people.",Make sure to bring earplugs if you can't sleep with loud noises- walls are thin.,Lots of street noise too.,Clear communication and amazing hospitality.,"Super close to public transportation, shopping, and night life.","Good spot close to transport, bars, food.","Really great hosting, excellent reassuring communication, and a fab and interesting  place!",Simple and safe spot for us.,"Appartement, location, amenities ... you can’t find better accommodation .",Boutique hotel with stylish interior design.,Communication with host was superb.,Great place and excellent communication and hospitality!,Easy access and informative instructions.,Easy access to transportation and terrific restaurants.,"Great restaurants, cafes and bars.",Perfect location for subway bars resturants and shopping!,"Small shops, juice bars, dry cleaning, bars, restaurants, etc.","Lots of nearby bars, restaurants and shops.","Blocks away from restaurants, bars, and coffee shops.",- Host : Very nice/easy-going person.,Host was friendly and responsive.,Host is very attentive and accommodating.,Great host with quick communications.,Great hosts and very clean!,But prices are very good.,- and each room slanted in multiple ways.,"Appartement, location, amenities ... you can’t find better accommodation .",Transportation connection and supply options are good.,"Cozy, tidy, cost effective lodging.",Easy walk to places for brunch and shopping.,"Walking distance to so many restaurants, shops, and transit.",Perfect location for subway bars resturants and shopping!,"Location was close enough to shops, restaurants and subway.",Location is amazing many shops and restaurants in walking distance.,Perfect location for subway bars resturants and shopping!,"Great restaurants, cafes and bars.","Industrial vibe but close to great food, coffee, and subway.",Boutique hotel with stylish interior design.,"Really great location walking distance to park slope shops, cafes and restaurants.","Location is good, it's close to subway and bus line.",Close to bus and subway lines.,"Walking distance to so many restaurants, shops, and transit.",Transportation connection and supply options are good.,Public transportation was very convenient.
102,Forest Hills,"Beautiful apartment, very responsive host, and a great location! Comfortable and clean room in a good area. Thank you for a great stay!! You are in walking distance to public transportation and near a business district that has convenient stores and restaurants. It was a great experience to stay at that place! Sa'ar was a wonderful host. ",Air conditioning in every room.,"Bathroom was OK, with good water pressure and temperature.",but don't want city noise.,"Quiet environment, clean beddings and friendly host.",Really quick response time to any questions and correspondence.,"Area is safe, great environment.",Safe neighborhood and clean space.,"Friendly host and close to public transportations, restaurants.","Cleanliness, great host, timely communications, close to public transportation.","Safe, clean, convenient neighborhood location.",Communication was great...Thanks for hosting us!,Great hospitality of hosts with coffee/tea  and breakfast items provided .,"Easy access to groceries, restaurants, parks, and transport.",Family space was a bonus.,"Cleanliness, great host, timely communications, close to public transportation.",Close to supermarket and japanese/chinese restaurant.,Close to restaurants and shop.,"Walking distance to shops, restaurants, grocery store, pharmacy, and subway.",Also great restaurants and bars close by!,"Wonderful apartment, close to subway, stores and coffee shops.",Great place and friendly host.,Host was very accommodating and gracious.,"Host is friendly, good neighborhood.","Great host, very understanding and accommodating.",Host is superb and easy to reach.,Family space was a bonus.,So it's convenient with respect tp transportation.,and rest after a long flight overseas.,Best AirBnB experience to date!,Hospitality and overall flexibility was great!,"Walking distance to shops, restaurants, grocery store, pharmacy, and subway.","Very convenient to mass transit, restaurants and shops.",close to shopping and restaurants too.,Close to shopping and major transportation.,Close to grocery shops and places to eat.,Walk-able distance to public transportation and multiple restaurants.,Terrific hospitality in a quiet neighborhood.,Great hospitality of hosts with coffee/tea  and breakfast items provided .,Great hospitality in a family oriented neighborhood just a subway ride from manhattan.,"Friendly host and close to public transportations, restaurants.",Pretty close to public transit.,Parking and transportation was very convenient.,Easy access to mass transit & airports.,"Close to public transit stations, very easy to get around.","Very convenient to mass transit, restaurants and shops."
103,Fort Greene,"It was a pleasant experience and hope to return in future. It was clean, wonderfully appointed, and very quiet, but also conveniently located. Great place, nice hosts, quiet and safe neighborhood  Lovely space in a wonderful location! Great location with easy access to subways, groceries, eateries and some shopping. Nice comfortable and clean apartment in a great location. Thanks for being a great host!! ",Communication was smooth and prompt.,Not a lot of street noise.,Definitely bring earplugs if noise will disturb you.,Communication was prompt and clear.,"Honestly, if you're used to city noise you'll be fine.","Clean space, easy communication .","Safe, quiet neighborhood, amazing location.",A few minor maintenance issues but overall clean and tidy.,Super close to transportation and local restaurants+nightlife.,"Easy access to site-seeing, transit, groceries, restaurants.","Easy accessibility to restaurants, markets, public transportation.","Easy access to site-seeing, transit, groceries, restaurants.",Yoga and meditation space with stellar instruction.,Epic apartment laden with character!,Communication with host also .,"( park, restaurants, grocery stores).","Subway, restaurants and shops nearby.",Food and bodega stores nearby.,"Supermarkets, restaurants and shops nearby.","Close to subway, parks, great restaurants and coffee shops.","Top hosts, would definitely recommend!",Host was easy to plan with.,Great host and quick to chat.,Communication with host also .,"Great location, great host !",Excellent location and good value for price.,"Easy accessibility to restaurants, markets, public transportation.",super easy access upon arrival.,"Easy access to site-seeing, transit, groceries, restaurants.",Excellent communication and handling of reservation/details!,Shopping and restaurants very close by.,"( park, restaurants, grocery stores).",Walk to restaurants and shops.,Easy to get to shops and transportation.,"convenience stores, flea markets, etc).","Easy accessibility to restaurants, markets, public transportation.","Good access to subways, restaurants, food markets.","convenience stores, flea markets, etc).","Very close to great restaurants, coffee and nightlife, comfortable amenities, and enough space for luggage.","Great restaurants, bodegas, and city scene.",Easy walk to all transit.,It's near a lot of transit stops.,Walkable distance from subway stations.,"Easy accessibility to restaurants, markets, public transportation.","Great neighborhood for food, transit, walking."
104,Fort Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Fort Wadsworth,"Everything was fine, especially to have a place to park. Denise was easy to comminicate with. Denise was a great host. Great host and good location! It was clean and comfortable. Very nice, clean and spacious - recommended by us ! ",On street parking was free and easy.,Laundry facilities came in handy.,It was clean and comfortable.,Being able to stream tv was nice.,Denise responded to texts or emails promptly.,It was private and secure.,Great host.. great communication.. will deal with again.,Great private space with good amenities.,Denise was kind enough to let us park right out front.,Great host and good location!,Fun to have a conversation too.,Being able to stream tv was nice.,Great private space with good amenities.,Great host and good location!,Everything was organized and as advertised.,Laundry facilities came in handy.,On street parking was free and easy.,Apartment is clean and in a quiet location.,"Great location, close to public transit.",Great private space with good amenities.,Very fast response by host.,"Denise was a great host, quick to respond and very accommodating.",Great host and good location!,Elaine was a great host and responded quickly to every message.,Denise was a great host and was very accommodating!,Overall it was a great expierence.,It was a great value.,"Everything was fine, especially to have a place to park.",Very nice accommodations at a good value.,A bit hard to find a suitable parking spot.,Laundry facilities came in handy.,On street parking was free and easy.,It was easy to find free parking a street over.,"Great location, close to public transit.",Less than a mile walking distance to eats and stores.,"Great location, close to public transit.",Fun to have a conversation too.,Great private space with good amenities.,Laundry facilities came in handy.,Apartment is clean and in a quiet location.,"Great location, close to public transit.",It was private and secure.,Very fast response by host.,It was easy to find free parking a street over.,Denise was kind enough to let us park right out front.
106,Fresh Meadows,"It was a fairly pleasant stay and a great value. You honestly couldn't ask for more. Spacious and clean room was so good. Very stylish, clean and comforting. Thanks for being a good host! It’s close to a little shopping plaza, close to transportation Excellent  Place was as advertised. ","Easy process, great room as always.",New air conditioning unit in room.,Pros: not for light sleepers (house not sound proof).,Very clean and quiet area.,"Everything is clean, comfortable, and private.","Good, clean and safe room.",smart price and clean place.,Super clean and in a safe neighborhood.,New air conditioning unit in room.,"Easy process, great room as always.",Communication was good with quick responses.,smart price and clean place.,It was walkable to a lot of restaurants and convenience stores.,Great communication Located at a quiet neighborhood.,Pros: not for light sleepers (house not sound proof).,Plenty of shops and restaurants near by.,It was walkable to a lot of restaurants and convenience stores.,Close to public transportation and restaurants.,Basement is sparkling clean apartment.,"Very clean basement apartment, private bath with desk, sofa and bed.","Great location, beautiful room, and excellent host!",Great communication Located at a quiet neighborhood.,"Easy process, great room as always.",Great stat Great place to stay.,Pros: not for light sleepers (house not sound proof).,New air conditioning unit in room.,"Easy process, great room as always.",smart price and clean place.,Pros: not for light sleepers (house not sound proof).,"It is secluded yet, few rides towards public transportation.",Short walk from bus stops.,It was walkable to a lot of restaurants and convenience stores.,Plenty of shops and restaurants near by.,Close to local dining and shops.,"It’s close to a little shopping plaza, close to transportation Excellent  Place was as advertised.",Basement is sparkling clean apartment.,It was walkable to a lot of restaurants and convenience stores.,Close to public transportation and restaurants.,Great communication Located at a quiet neighborhood.,Close to local dining and shops.,Short walk from bus stops.,"It’s close to a little shopping plaza, close to transportation Excellent  Place was as advertised.",It was walkable to a lot of restaurants and convenience stores.,"(If you fly it is hard to cart around pans, knives, and cooking oil; impossible if you use carry-on).",New air conditioning unit in room.
107,Gramercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Graniteville,"Toilet rooms are also clean. Nice house, excellent value for money, nice and quiet neighborhood. All in all, great place to stay! Parking was convenient both nights. Thanks a lot for everything! It's not too strong and you get used to it quickly. ",You saved us so much hassle.,Everything was clean and neat.,Very warm and pleasant guy.,It's not too strong and you get used to it quickly.,Parking was convenient both nights.,"Nice house, excellent value for money, nice and quiet neighborhood.","Each day was great, full of fun and interesting communication.",You saved us so much hassle.,Great clean quite place in a nice safe location.,Parking was convenient both nights.,Parking was convenient both nights.,Parking is easy and safe.,"You live in a good, very clean room with a comfortable bed and you have a TV with some DVDs provided.","Very cozy room, private bathroom, room has closet, iron & board, fan, microwave and fridge.",Toilet rooms are also clean.,"Very cozy room, private bathroom, room has closet, iron & board, fan, microwave and fridge.",Toilet rooms are also clean.,"It's a suburban area, with a few food places nearby.","Nice house, excellent value for money, nice and quiet neighborhood.","Clean, comfortable and private home.","All in all, great place to stay!","You live in a good, very clean room with a comfortable bed and you have a TV with some DVDs provided.",Thanks a lot for everything!,"Each day was great, full of fun and interesting communication.",Toilet rooms are also clean.,"Each day was great, full of fun and interesting communication.","Great hosts, made us feel at home away from home!","Nice house, excellent value for money, nice and quiet neighborhood.",You saved us so much hassle.,But it was definetelly worth it!!,Parking was convenient both nights.,Parking is easy and safe.,"Each day was great, full of fun and interesting communication.",Toilet rooms are also clean.,"Nice house, excellent value for money, nice and quiet neighborhood.",Parking was convenient both nights.,Toilet rooms are also clean.,Parking is easy and safe.,"Each day was great, full of fun and interesting communication.","Very cozy room, private bathroom, room has closet, iron & board, fan, microwave and fridge.","It's a suburban area, with a few food places nearby.",Parking was convenient both nights.,"Clean, comfortable and private home.",Parking is easy and safe.,I'm uncomfortable with that part.
109,Gravesend,"Great and comfortable location, next to subway, a lot of stores nearby, clean and host accommodating and friendly! Studio was nice and clean, host was very accommodating and quick to respond. Great host and very nice place to stay! It was incredibly clean and comfortable. Room is beautiful, clean and big, beds are very comfortable. All in all - a good find if you are looking to just spend couple of nights. ",A little bit of noise from upstairs but bearable.,"it was quiet, and just a delight.","Excellent communication with owner deserves special comments - very responsive, reliable and fast reactions.","Not safe for small children (broken glass, exposed wires, trash in back and front yard, no smoke detectors or CO2 detectors).",Communication was fast and seamless.,"Great location, prompt communication and sparkling house!",Positive experience with reasonable budget.,"Excellent communication with owner deserves special comments - very responsive, reliable and fast reactions.","Not safe for small children (broken glass, exposed wires, trash in back and front yard, no smoke detectors or CO2 detectors).","Easy access to get around, good communication with owner.","Excellent communication with owner deserves special comments - very responsive, reliable and fast reactions.","Great location, prompt communication and sparkling house!",Great amenities and convenient location!,"Very convenient for shopping, restaurants, and transportation.",apartment is walking distance to shops and restaurants.,Grocery shopping and restaurants are nearby.,"Subway station, restaurants and convenient stores are at walkable distance.",apartment is walking distance to shops and restaurants.,"Very convenient for shopping, restaurants, and transportation.","Many restaurants and mini-markets, bakery and deli's around, in walking distance.",Great host with great communication.,Super host and great place.,Host cooks late at night(10pm-1am)&walks loudly.,Excellent host with quick responses.,:) Great place and nice host!,Extra bonus - availability of parking!,Good value for no frills accommodation.,"It is way much added value, above all for a solo traveler.",Positive experience with reasonable budget.,apartment is walking distance to shops and restaurants.,apartment is walking distance to shops and restaurants.,"Very convenient for shopping, restaurants, and transportation.",Grocery shopping and restaurants are nearby.,"Great area, walking distance from food & shopping.","near to shops and train station, quiet and safe neighborhood good!","Great location, prompt communication and sparkling house!","An eclectic neighborhood, with great food options and amenities.",apartment is walking distance to shops and restaurants.,"Great area, walking distance from food & shopping.","Room was clean, plenty of room and neighborhood was quiet with easy walking distance to restaurants and access to public transportation.",Location from subway was very easy.,"Хочется вернуться...  Good location, walking distance to subway, stores, and restaurants.","Subway station, restaurants and convenient stores are at walkable distance.",Public transportation is also available.,apartment is walking distance to shops and restaurants.
110,Kensington,"It was super close to subway station and felt safe. Nice and clean basement apartment with all you need for an easy and comfortable stay. Chadanut was a great host. It was tidy and quiet. It could be trite to say that you arrive as guests, and leave as friends. Such a nice place to stay with fabulous hosts! ","Space was slightly noisy - not upstairs inhabitants but pipes, etc.",Beautiful skylights for natural sunlight and fresh air.,"Clean, cool (air-con that works!",Although front door could use some cleaning coz it smells really bad upon entering.,Felt stuffy due to limited ventilation.,Clean place with plenty of comfort and privacy.,"Location was fabulous, both in terms of security/safety and proximity to subway.",Choice of public transport connections.,"clean, quiet safe and great location.",In short a safe address or you can go with confidence!,Quick access to public transport.,"Great communication, stylish home, very nice host.","Great value, and amazing hospitality.","Nice basement apartment, clean & private, near transit and eateries.",Easy access to public transportation.,Coffee shops and restaurants located within a short walk.,Some good take away restaurants and food stores nearby.,Restaurants and small grocery markets are close by too.,"Every type of store (e.g., pharmacy, hardware), restaurant, bar, or cafe you could want are all within very short walking distance.","Nice basement apartment, clean & private, near transit and eateries.","Great host  amazing place to stay , totally worth it Great host.",Great place and great host.,Communication with host was ok.,Super hosts and gorgeous room/bath.,Perfect for hosting out of town family and guests.,"will definitely come back :)  Good price, easily accessible by subway.","Price good , near subway ",you expect a clean place and a minimum comfort.,Easy access to public transportation.,"Clean, good sized room and common areas.",Coffee shops and restaurants located within a short walk.,Close to public transport and shops.,Walking distance to several stores and restaurants!!!!,"Short walk to bus and subway, also groceries and sundries.",Nearby markets to grab food for breakfast.,"Nice basement apartment, clean & private, near transit and eateries.","Amazing hosts, and room is ideal for business travel.",Coffee shops and restaurants located within a short walk.,Very quiet neighborhood with alot minimarts and restaurants nearby.,Great decor and comfy spot overall.,Choice of public transport connections.,Public transportation is super close.,"Short walk to bus and subway, also groceries and sundries.","Nice basement apartment, clean & private, near transit and eateries.",Quick access to public transport.
111,Kew Gardens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Parkchester,"Great deal in a lively area near transit and lots of shopping. It was a great stay overall, host has great hospitality & a very nice home. Travis is super nice and very accommodating. Good place for stay, clean and quiet. Great, thank you for you hospitality. Travis was a great host. ","Great spot, clean, quiet and safe.",Parking is a nightmare though.,"Parking can be a problem, but area seems fairly safe.",Very hospitable and quick communication.,But on a positive note bedroom was super clean !,Next to food and shopping.,Very hospitable and quick communication.,Privacy was also always given.,"Beautiful, easy to access and  clean.","Parking can be a problem, but area seems fairly safe.","Great value, great host, very clean space.",Parking is a nightmare though.,"Great location, including food and a playground in very close walking distance.",Travis was a top-notch host.,great stay and host ,Close to restaurants and stores.,Near little supermarkets and restaurants and police station.,Next to food and shopping.,"It's in walking distance to shopping, food, laundry and a cute park!",Livingroom and bedroom are spacious.,Travis was a great host!!,Travis was a top-notch host.,And host was super friendly and responsive.,Couldn’t have asked for a better host & stay!,Travis was a great host!,Attention to detail with little things brings you a long way..,Regarding locality - it was approx.,"Beautiful, easy to access and  clean.",Everything you need is at walking distance.,And provided bottled water and chips for a snack.,Next to food and shopping.,"It's in walking distance to shopping, food, laundry and a cute park!",Close to all shopping and transport/subway.,Parking is a nightmare though.,Close to restaurants and stores.,"Great location, including food and a playground in very close walking distance.","It's in walking distance to shopping, food, laundry and a cute park!",Livingroom and bedroom are spacious.,Convenient location and a cozy place to stay!,Nothing beats a quiet neighborhood with easy access to shops and restaurants.,Very convenient to train and eating places.,Great deal in a lively area near transit and lots of shopping.,Parking is a nightmare though.,Close to restaurants and stores.,"It's in walking distance to shopping, food, laundry and a cute park!"
113,Pelham Bay,"Very comfortable setting and couldn't ask for a better place. It had plenty of space for a single traveler, plus it was very clean. Great place, very comfortable and very clean and everything you need for a short or long stay. Thank you for all brian :) !! Good place Very great space and an excellent host. Close to lots of little shops, restaurants and walking distance from public transportation. ",Parking was a huge plus.,"Great communication before arriving, fair room.",Food and drinks within walking distance!,"Quick responses, clean apartment and very accommodating.","Washing liquid, shampoo... lacked of.","Quiet neighborhood, clean space and good host.",Quick responses from host and nice accommodations.,"Great, Safe and quiet Location.",Friendly guy and clean room.,"Great communication before arriving, fair room.",Quick responses from host and nice accommodations.,"Great communication before arriving, fair room.","Great area, lots of local fun restaurants with walking distance.","Quiet neighborhood, clean space and good host.",Communication was fast and easy from beginning to end.,Plenty of shops & restaurant within walking distance.,Excellent neighborhood with several shops and restaurants.,Close to stores and restaurants.,"Great place, walking distance to restaurants and bars.","Great area, lots of local fun restaurants with walking distance.",Cool place with excellent hosts!,haidy was an amazing host.,Quick responses from host and nice accommodations.,Good price & great host.,"Great host, amazing clean place!",room was small but clean!,Never had an issue and was very comfortable at all times.,very clean and near public transport.,And it was a great price / value.,Would recommend to anyone  Very accommodating and great value.,Plenty of shops & restaurant within walking distance.,"Close to subway stop, groceries, bakeries, all kinds of services.",Bus stops are close and convenient.,Parking was very easy to find too!,Parking was a huge plus.,"Great area, lots of local fun restaurants with walking distance.","Great place, walking distance to restaurants and bars.",Plenty of shops & restaurant within walking distance.,Nice quiet location and great hospitality.,"Quiet neighborhood, clean space and good host.","Close to lots of little shops, restaurants and walking distance from public transportation.",very clean and near public transport.,"Close to subway stop, groceries, bakeries, all kinds of services.","Conveniently, within walking distance to train, buses, grocery and restaurants.",Food and drinks within walking distance!
114,Great Kills,Short walking distance to stores and restaurants. It was clean and comfortable with plenty of space for us all. Thank you so much for hosting us! Very comfortable and a great location! EXCELLENT COMFORTABLE CONVENIENT CLEANLINESS BEAUTIFUL!!! Really anything you might need is in walking distance if you don't have a car. ,No complaint s at all will surely stay again.,Location accommodation was comfortable and safe.,"It is very clean, tidy and user friendly.",...nice conversations and funny dogs.,"Clean with accurate description, no bad surprise!",Location accommodation was comfortable and safe.,"Clean with accurate description, no bad surprise!",Quite nice and safe neighborhood.,"--Tim Amazing host... amazing place..  Beautiful space, super soft bed, would definitely stay again.","It is very clean, tidy and user friendly.",...nice conversations and funny dogs.,"Nearby grocery store, laundry, and restaurants.","Breakfast, coffee and conversation was reafily available as was advive to loval eateries and shops.",Location accommodation was comfortable and safe.,"--Tim Amazing host... amazing place..  Beautiful space, super soft bed, would definitely stay again.","Nearby grocery store, laundry, and restaurants.","Breakfast, coffee and conversation was reafily available as was advive to loval eateries and shops.",Short walking distance to stores and restaurants.,"Quiet neighborhood and beautiful, clean apartment.","Super convenient location,  absolute privacy,  safe neighborhood, and extremely clean apartment.",A perfect stay and a perfect host!!!,Great host and lovely neighborhood!,You are a great host.,"Lovely, friendly, and very accommodating hosts!",Thank you so much for hosting us!,"Breakfast, coffee and conversation was reafily available as was advive to loval eateries and shops.",Eveything you need is within walking distance.,It couldn't have been easier.,"Super convenient location,  absolute privacy,  safe neighborhood, and extremely clean apartment.","Clean with accurate description, no bad surprise!","Nearby grocery store, laundry, and restaurants.","Breakfast, coffee and conversation was reafily available as was advive to loval eateries and shops.",Location accommodation was comfortable and safe.,Short walking distance to stores and restaurants.,"Super convenient location,  absolute privacy,  safe neighborhood, and extremely clean apartment.",Location accommodation was comfortable and safe.,"Breakfast, coffee and conversation was reafily available as was advive to loval eateries and shops.","Super convenient location,  absolute privacy,  safe neighborhood, and extremely clean apartment.","Quiet neighborhood and beautiful, clean apartment.","Nearby grocery store, laundry, and restaurants.",Free parking on sundays at Staten island Ferry south parking.,Eveything you need is within walking distance.,Short walking distance to stores and restaurants.,"Breakfast, coffee and conversation was reafily available as was advive to loval eateries and shops.","Super convenient location,  absolute privacy,  safe neighborhood, and extremely clean apartment."
115,Huguenot,"Public review Everything was perfect ! Nice small place and everything was just as described. Just as advertised in pictures, cozy, warm, and very artistic. Very easy access to public transit and also close to great food. Definitely will be returning soon. Close to bus route and train lines. Overall a gem of a place and great hosts! Great location to many things! Wifi, bathroom amenities and extra linens and pillows are all provided. Real close and easy to get to! But in reality, it wasn't bad. A place that is better than expected and guests that are excellent and very attentive. Great stay and very friendly! will definitely be back again. Recommended Great place Great experience Great place ! It is very clean, beds and pillows are comfortable. Contact with hosts was superb. Not a bad comment to be made. Very accommodating , understanding and easy to contact. Warm, beautifully decorated setting, very cozy and inviting! ",,,,,,,,,,,,,,,,"Wifi, bathroom amenities and extra linens and pillows are all provided.",Close to bus route and train lines.,Very easy access to public transit and also close to great food.,Overall a gem of a place and great hosts!,Great location to many things!,,,,,,,,,,,"Just as advertised in pictures, cozy, warm, and very artistic.","Wifi, bathroom amenities and extra linens and pillows are all provided.",Very easy access to public transit and also close to great food.,Close to bus route and train lines.,Great location to many things!,"Wifi, bathroom amenities and extra linens and pillows are all provided.",Great location to many things!,Very easy access to public transit and also close to great food.,A place that is better than expected and guests that are excellent and very attentive.,Public review Everything was perfect !,,,,,
116,Greenpoint,"Thank you for a great stay! It was really clean and homely. It's  a great stay if you plan to be out and about mostly. It is a good location, close to restaurants, shops, and transportation. Ella's place is very spacious, modern and clean, with a very comfortable bed. Great clean place to stay in a great location! ",Street noise was much worse than expected.,I’d definitely recommend a white noise machine.,"Hot water, air conditioner worked & comfortable bed.","Location, cleanliness, comfortable bed, impeccable communication.","Convenience, price, cleanliness, friendly host.",Location was incredible and safe.,"Parking isn't an issue, nor is safety.","Also, it´s trully safe location.","Location, cleanliness, comfortable bed, impeccable communication.",Privacy is no problem at all.,Variety choices of food and grocery around.,"Amazing art, food and music!",An art and music lovers dream.,Pre-visit communication made trip planning easy.,"Bars, restaurants, music venues and tattoo shops.","), restaurants, shops and grocery.","Groceries, gyms, restaurants and bars.","breakfast spots, shops and bars.","Great coffee shops, stores, and restaurants nearby.","Close to bars, restaurants and shops.",Great host and place to stay.,Host was accommodating and responsive.,Host was always available for questions.,Host was nice and accommodating.,"fabulous hosts, hope to be back.","Value for price is good, so recommended.","Convenience, price, cleanliness, friendly host.",very convenient and hassle free.,More than value for money!,Excellent value for money for NY standards!,Shopping was nearby and convenient.,"), restaurants, shops and grocery.","short walk to grocery, cafes, restaraunts.","It is convenient to shops, restaurants, and transportation.","It is convenient to shops, restaurants, and transportation.","FANTASTIC views and in a prime location for restaurants, parks, and nightlife!","Hip location, perfect walking distance to coffee shops and restaurants, etc.","breakfast spots, shops and bars.","Fabulous location for subway, restaurants, coffee shops and boutiques.","Groceries, gyms, restaurants and bars.",Super close to public transit and restaurants.,"Close to subway stop, which was perfect for convenient travel by public transportation.","Close to transit , shopping and foodie locations.",Easy to get to public transit.,Public transportation is within walking distance.
117,Greenwich Village,"It was fine for us but a more discerning traveler might have a problem with it. It was clean, comfortable, and very charming. It is located close to great restaurants and shops. Great host, great location, and a comfortable stay. Lovely appartment in a great location. Molly is a fabulous host and recommend some wonderful places. ","It was also very quiet, with minimal street noise.",Noise from street traffic is loud - but you get used to it really quickly.,"(Size, orientation, views, light, etc.)","so smells may be more difficult to handle than noise (host supplies earplugs, nice touch!)",Central to everything and no street noise.,"Easy communication, quiet, close to public transportation and amenities at a good price.","Good communication, convenient to local shopping and attractions.",Hot water supply failed but was repaired quickly.,"Walking distance to shops, restaurants, public transportation.",Great value for location and cleanliness!,"Dining, shops, entertainment are all within blocks.","Good communication, convenient to local shopping and attractions.",Good internet connection and comfortable work space.,Excellent location - food & subway.,"Great location, with lots of food and entertainment options within walking distance.","Grocery stores, bests restaurants, great shopping...",Tonsss of restaurants and bars.,Local coffee shops and restaurants are nearby.,"Many restaurants, cafes, and bagel shops nearby.","Great location for restaurants, clubs and shops.",Great location and friendly host.,"Great location, host, and space!",Nice host and quick to respond.,Great host and good location.,Host was friendly and responsive.,Access to a laundry facility is a big bonus for anyone staying for an extended period of time.,Very good value for money too!,That low rate comes with a few understandable trade-offs.,Overall good experience and good value for money.,"So, good value for money!",Shopping is convenient since shops are only few blocks away.,Shopping is just few blocks away too!,"Dining, shops, entertainment are all within blocks.","Walking distance to shops, restaurants, public transportation.",Walking distance to shopping and dining!,"Close to restaurants, shopping, and nightlife.","Location was very convenient to great sights, restaurants and nightlife.",Perfect location near nightlife and accessible to subway.,"Dining, coffee, proper bars, clubs... people watching.","Dining, shops, entertainment are all within blocks.",Public transportation is close by.,"Convenient transportation (subway not far away), grocery and restaurants next door.",Public transit is so close with subways right out front door.,"Centrally located to transit, restaurants and sites.",Easy access to subway lines.
118,Grymes Hill,"It was brilliant to find a place which was not only very beautifully setup but also made all of us feel right at home. It was very warm, nice and quiet!!! Great place to stay, great price and good host. Thank you so much ! Very neat set up, newly renovated with a very comfortable room  .. Easy to reach by public transport. ",Great scenery and amazing details.,"Friendly, but respectful of privacy.",Convinient in traffic and very beautiful enviroment.,Its great for sunset photography.,"It was very warm, nice and quiet!!!","Safe looking area, very clean space, just as described!",Great communication and would love to stay again!,Easy to reach by public transport.,"Friendly, but respectful of privacy.",Convinient in traffic and very beautiful enviroment.,Great scenery and amazing details.,"Nice quiet location, extremely clean, updated, and great communication.",Great communication and would love to stay again!,"Lovely hosts, great conversation, and a fun rustic style house with much character.",Easy to reach by public transport.,"Great stay, spacious room and house.","good location, basic room but very comfortable bed.",Room is clean and spacious.,"Nice house, looks recently remodeled.","Top floor room, so no guests walking above me, which was nice.",Come as guest leave as friend.,"Lovely hosts, great conversation, and a fun rustic style house with much character.","Top floor room, so no guests walking above me, which was nice.",Hosts gave us a warm hospitality.,Lovely host A lovely home in a safe area with plenty of parking.,Easy to reach by public transport.,Absolutely amazing value for money.,"Fantastic value for money, it was all amazing!!",Simple furnishings but all that you need.,Turned out to be a great decision in terms of location and price.,"Nice house, looks recently remodeled.",Get a metro card ready!!!,Really friendly and reply massages very quckly.,Perfect area and very easy to find parking.,Easy to reach by public transport.,"Lovely hosts, great conversation, and a fun rustic style house with much character.",Great scenery and amazing details.,Hosts gave us a warm hospitality.,"good location, basic room but very comfortable bed.","Great stay, spacious room and house.","Very easy to reach by public transit, with lots of information on nyc available.",Perfect area and very easy to find parking.,Easy to reach by public transport.,Make sure you get back early enough for parking.,"Easy communication and very clean with everything as pictured, thanks for having me!"
